cidade_estado,cidade_estado_corrigido,geopoint
Orizona-GO,Orizona-GO,"-17.0333559,-48.29641"
Ourinhos-SP,Ourinhos-SP,"-22.9777918,-49.868204"
Palmares-PE,Palmares-PE,"-8.684226,-35.589032"
Palmas-PR,Palmas-PR,"-26.483868,-51.988812"
Palmeiradas Missoes-RS,Palmeira das Missões-RS,"-27.9010519,-53.3135927"
Palmital-SP,Palmital-SP,"-22.786384,-50.2198965"
Palotina-PR,Palotina-PR,"-24.2839929,-53.8405463"
Papanduva-SC,Papanduva-SC,"-26.4065885,-50.1457369"
Paracatu-MG,Paracatu-MG,"-17.2174056,-46.8707514"
Paranagua-PR,Paranaguá-PR,"-25.5148822,-48.5226695"
Paranapanema-SP,Paranapanema-SP,"-23.390161,-48.720868"
Paranapoema-PR,Paranapoema-PR,"-22.6561084,-52.0865163"
Paranavai-PR,Paranavaí-PR,"-23.08165,-52.461724"
Parauna-GO,Paraúna-GO,"-16.9495937,-50.4473008"
Passo Fundo-RS,Passo Fundo-RS,"-28.2550598,-52.3966606"
Pato Branco-PR,Pato Branco-PR,"-26.2295984,-52.6712474"
Patrocinio-MG,Patrocínio-MG,"-18.9408294,-46.9926624"
Pedrinhas Paulista-SP,Pedrinhas Paulista-SP,"-22.815725,-50.792359"
Pedro Afonso-TO,Pedro Afonso-TO,"-8.9757351,-48.1733282"
Pelotas-RS,Pelotas-RS,"-31.7699736,-52.3410161"
Penedo-AL,Penedo-AL,"-10.2872341,-36.5819262"
Perdizes-MG,Perdizes-MG,"-19.3503361,-47.2938235"
Perolandia-GO,Perolândia-GO,"-17.5269378,-52.0624546"
Petrolina-PE,Petrolina-PE,"-9.3817334,-40.4968875"
Pinhao-PR,Pinhão-PR,"-25.6960895,-51.6566366"
Piracanjuba-GO,Piracanjuba-GO,"-17.3020379,-49.0170101"
Piracicaba-SP,Piracicaba-SP,"-22.72528,-47.64917"
Piraido Sul-PR,Piraí do Sul-PR,"-24.5346602,-49.9399216"
Pirajuba-MG,Pirajuba-MG,"-19.9090891,-48.701683"
Pitanga-PR,Pitanga-PR,"-24.759586,-51.7637582"
Planura-MG,Planura-MG,"-20.1368583,-48.7066819"
Platina-SP,Platina-SP,"40.9674428,-5.6885238"
Pombos-PE,Pombos-PE,"-8.1398585,-35.396437"
Ponta Grossa-PR,Ponta Grossa-PR,"-25.0891685,-50.1601812"
Ponta Pora-MS,Ponta Porã-MS,"-22.5286917,-55.723426"
Portelandia-GO,Portelândia-GO,"-17.3573086,-52.6777879"
Porto Alegre-RS,Porto Alegre-RS,"-30.0324999,-51.2303767"
Porto Calvo-AL,Porto Calvo-AL,"-9.051948,-35.398653"
Pradopolis-SP,Pradópolis-SP,"-21.3597815,-48.0746603"
Presidente Olegario-MG,Presidente Olegário-MG,"-18.415,-46.419723"
Presidente Prudente-SP,Presidente Prudente-SP,"-22.12556,-51.38889"
Primaverado Leste-MT,Primavera do Leste-MT,"-15.5614127,-54.2993946"
Primavera-PE,Primavera-PE,"-8.3308449,-35.3523034"
Prudentopolis-PR,Prudentópolis-PR,"-25.203358,-50.9895774"
Querencia-MT,Querência-MT,"-12.5944625,-52.2088505"
Rancharia-SP,Rancharia-SP,"-22.2294981,-50.8922333"
Recife-PE,Recife-PE,"-8.0584933,-34.8848193"
Riachaodas Neves-BA,Riachão das Neves-BA,"-11.7481049,-44.9109851"
Ribeiraodo Sul-SP,Ribeirão do Sul-SP,"-22.7861813,-49.9285258"
Ribeirao-PE,Ribeirão-PE,"-8.5066761,-35.3747339"
Ribeirao Preto-SP,Ribeirão Preto-SP,"-21.178333,-47.8066671"
Rio Brilhante-MS,Rio Brilhante-MS,"-21.8001509,-54.5428102"
Rio Formoso-PE,Rio Formoso-PE,"-8.6606291,-35.1550736"
Rio Grande-RS,Rio Grande-RS,"-32.0334252,-52.0991297"
Rio Largo-AL,Rio Largo-AL,"-9.477829,-35.839435"
Rio Negrinho-SC,Rio Negrinho-SC,"-26.259075,-49.517746"
Rio Paranaiba-MG,Rio Paranaíba-MG,"-19.196447,-46.2410263"
Rio Verde-GO,Rio Verde-GO,"-17.7921255,-50.9191219"
Romaria-MG,Romaria-MG,"-18.8823522,-47.5854354"
Rondonopolis-MT,Rondonópolis-MT,"-16.4603533,-54.6397099"
Sacramento-MG,Sacramento-MG,"-19.8652854,-47.4402746"
Sandovalina-SP,Sandovalina-SP,"-22.4560782,-51.7634004"
Santa Cruzdo Rio Pardo-SP,Santa Cruz do Rio Pardo-SP,"-22.9060715,-49.6277378"
Santa Helenade Goias-GO,Santa Helena de Goiás-GO,"-17.8115199,-50.5976641"
Santa Juliana-MG,Santa Juliana-MG,"-19.308611,-47.525"
Santa Maria-RS,Santa Maria-RS,"-29.6860512,-53.8069214"
Santanado Livramento-RS,Santana do Livramento-RS,"-30.8036589,-55.5243086"
Santa Ritado Trivelato-MT,Santa Rita do Trivelato-MT,"-13.8139517,-55.2721092"
Santa Rosa-RS,Santa Rosa-RS,"-27.8643546,-54.4779287"
Santiago-RS,Santiago-RS,"-29.189675,-54.866624"
Santo Antoniodo Leste-MT,Santo Antônio do Leste-MT,"-14.8037659,-53.6095671"
Santos-SP,Santos-SP,"-23.96083,-46.33361"
Sao Borja-RS,São Borja-RS,"-28.6592237,-56.0044295"
Sao Carlos-SP,São Carlos-SP,"-22.0180395,-47.891154"
Sao Desiderio-BA,São Desidério-BA,"-12.357196,-44.976881"
Sao Franciscodo Sul-SC,São Francisco do Sul-SC,"-26.2495087,-48.6308087"
Sao Gabrieldo Oeste-MS,São Gabriel do Oeste-MS,"-19.3944843,-54.5755213"
Sao Joao Dalianca-GO,São João d'Aliança-GO,"-14.7043453,-47.5206865"
Sao Joseda Laje-AL,São José da Laje-AL,"-9.0093044,-36.056732"
Sao Josedo Rio Claro-MT,São José do Rio Claro-MT,"-13.4467103,-56.7214365"
Sao Josedo Rio Preto-SP,São José do Rio Preto-SP,"-20.8125851,-49.3804212"
Sao Luisdo Quitunde-AL,São Luís do Quitunde-AL,"-9.3181755,-35.5605097"
Sao Luis-MA,São Luís-MA,"-2.5634605,-44.2448718"
Sao Luiz Gonzaga-RS,São Luiz Gonzaga-RS,"-28.4074546,-54.9609081"
Sao Migueldas Missoes-RS,São Miguel das Missões-RS,"-28.5470756,-54.553011"
Sao Migueldos Campos-AL,São Miguel dos Campos-AL,"-9.7831115,-36.0967804"
Sao Simao-GO,São Simão-GO,"-18.9941302,-50.5468215"
Sao Simao-SP,São Simão-SP,"-21.4800208,-47.5531095"
Sapezal-MT,Sapezal-MT,"-13.547958,-58.8146235"
Sarandi-RS,Sarandi-RS,"-27.942,-52.923085"
Serrado Ramalho-BA,Serra do Ramalho-BA,"-13.5442363,-43.5773151"
Serrados Aimores-MG,Serra dos Aimorés-MG,"-17.7851517,-40.2460739"
Sete Quedas-MS,Sete Quedas-MS,"-23.978822,-55.0428349"
Sidrolandia-MS,Sidrolândia-MS,"-20.9361042,-54.9640262"
Silvania-GO,Silvânia-GO,"-16.6599718,-48.608326"
Sinop-MT,Sinop-MT,"42.0266698,35.1506765"
Sirinhaem-PE,Sirinhaém-PE,"-8.591935,-35.1155161"
Soledade-RS,Soledade-RS,"-28.8272467,-52.5109157"
Sonora-MS,Sonora-MS,"-17.5852028,-54.7548288"
Sorriso-MT,Sorriso-MT,"-12.5444887,-55.7233972"
Surubim-PE,Surubim-PE,"-7.8424353,-35.7539722"
Tabapora-MT,Tabaporã-MT,"-11.3085286,-56.8212723"
Tacuru-MS,Tacuru-MS,"-23.635954,-55.014137"
Tamandare-PE,Tamandaré-PE,"-8.7500009,-35.1045787"
Tangarada Serra-MT,Tangará da Serra-MT,"-14.6213903,-57.4907268"
Tapurah-MT,Tapurah-MT,"-12.742385,-56.512037"
Taquarivai-SP,Taquarivaí-SP,"-23.9257829,-48.7005328"
Telemaco Borba-PR,Telêmaco Borba-PR,"-24.3282939,-50.6318021"
Teotonio Vilela-AL,Teotônio Vilela-AL,"-9.9062736,-36.3571341"
Timbauba-PE,Timbaúba-PE,"-7.5118822,-35.316076"
Toledo-PR,Toledo-PR,"-24.7222438,-53.7402476"
Tres Passos-RS,Três Passos-RS,"-27.4556106,-53.9294399"
Tupaciguara-MG,Tupaciguara-MG,"-18.5932122,-48.6999014"
Uberaba-MG,Uberaba-MG,"-19.750833,-47.936666"
Uberlandia-MG,Uberlândia-MG,"-18.9188041,-48.2767837"
Umuarama-PR,Umuarama-PR,"-23.7621152,-53.3116192"
Unai-MG,Unaí-MG,"-16.3628767,-46.892413"
Uniaodos Palmares-AL,União dos Palmares-AL,"-9.1576807,-36.0342251"
Vacaria-RS,Vacaria-RS,"-28.5102901,-50.9356044"
Vera-MT,Vera-MT,"-12.30583,-55.31694"
Vianopolis-GO,Vianópolis-GO,"-16.7475869,-48.5131735"
Vicencia-PE,Vicência-PE,"-7.6574422,-35.3218464"
Vicentinopolis-GO,Vicentinópolis-GO,"-17.7353689,-49.8040525"
Vitoriade Santo Antao-PE,Vitória de Santo Antão-PE,"-8.1209019,-35.2944858"
Vitoria-ES,Vitória-ES,"-20.3200917,-40.3376682"
Votuporanga-SP,Votuporanga-SP,"-20.4252908,-49.972028"
Xanxere-SC,Xanxerê-SC,"-26.874694,-52.403579"
Caldas-MG,Caldas-MG,"-21.923611,-46.386111"
Caratinga-MG,Caratinga-MG,"-19.7900887,-42.140533"
Caxias-MA,Caxias-MA,"-4.8654201,-43.353664"
Lavras-MG,Lavras-MG,"-21.2425512,-44.9991978"
Machado-MG,Machado-MG,"-21.6762861,-45.9211696"
Manhuacu-MG,Manhuaçu-MG,"-20.2574434,-42.0340769"
Mariada Fe-MG,Maria da Fé-MG,"-22.3081652,-45.3752771"
Passos-MG,Passos-MG,"-20.719162,-46.6094507"
Patosde Minas-MG,Patos de Minas-MG,"-18.6041453,-46.5096698"
Sao Lourenco-MG,São Lourenço-MG,"-22.116389,-45.054167"
Varginha-MG,Varginha-MG,"-21.5565914,-45.4340674"
